# Horizontal Coefficients
  32,  62,  32,   2
  30,  60,  34,   4
  28,  58,  36,   6
  26,  56,  38,   8
  24,  54,  40,  10
  22,  52,  42,  12
  20,  50,  44,  14
  18,  48,  46,  16
  16,  46,  48,  18
  14,  44,  50,  20
  12,  42,  52,  22
  10,  40,  54,  24
   8,  38,  56,  26
   6,  36,  58,  28
   4,  34,  60,  30
   2,  32,  62,  32

# Vertical coefficients
  20, 108,   0,   0   # 100%
  10, 101,   7,   0   # 100%
   8,  93,  15,   0   # 100%
   6,  70,  16,   0   # 100%
   3,  79,  29,   0   # 100%
   0,  36,  18,   0   # 50%
   0,  32,  20,   0   # 50%
   0,  29,  25,   0   # 50%
   0,  25,  29,   0   # 50%
   0,  20,  32,   0   # 50%
   0,  18,  36,   0   # 50%
   0,  29,  79,   3   # 100%
   0,  16,  70,   6   # 100%
   0,  15,  93,   8   # 100%
   0,   7, 101,  10   # 100%
   0,   0, 108,  20   # 100%
