10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_000_Br_020.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.550, dp=2.200, bp=1.080

# Dark Coefficients
   6, 384,   6,   0
   6, 384,   7,   0
   6, 383,   7,   0
   6, 383,   7,   0
   6, 382,   7,   0
   5, 381,   8,   0
   5, 379,   8,   0
   5, 377,   8,   0
   5, 375,   8,   0
   5, 373,   8,   0
   5, 371,   9,   0
   4, 368,   9,   0
   4, 365,   9,   0
   4, 362,   9,   0
   4, 358,   9,   0
   4, 355,  10,   0
   4, 351,  10,   0
   3, 347,  10,   0
   3, 343,  10,   0
   3, 338,  10,   0
   3, 333,  11,   0
   3, 329,  11,   0
   3, 324,  11,   0
   3, 318,  11,   0
   2, 313,  11,   0
   2, 308,  12,   0
   2, 302,  12,   0
   2, 296,  12,   0
   2, 290,  12,   0
   2, 284,  12,   0
   2, 278,  12,   0
   2, 272,  12,   0
   2, 266,  12,   0
   2, 260,  13,   0
   1, 253,  13,   0
   1, 247,  13,   0
   1, 240,  13,   0
   1, 234,  13,   0
   1, 227,  13,   0
   1, 221,  13,   0
   1, 214,  13,   0
   1, 208,  13,   0
   1, 201,  13,   0
   1, 195,  13,   0
   1, 188,  13,   0
   1, 182,  13,   0
   1, 175,  13,   0
   1, 169,  13,   0
   1, 163,  13,   0
   1, 157,  13,   0
   1, 151,  13,   0
   0, 145,  12,   0
   0, 139,  12,   0
   0, 133,  12,   0
   0, 127,  12,   0
   0, 121,  12,   0
   0, 116,  12,   0
   0, 110,  11,   0
   0, 105,  11,   0
   0, 100,  11,   0
   0,  95,  11,   0
   0,  90,  11,   0
   0,  85,  10,   0
   0,  81,  10,   0
   0,  76,  10,   0
   0,  72,  10,   0
   0,  68,   9,   0
   0,  64,   9,   0
   0,  60,   9,   0
   0,  56,   9,   0
   0,  53,   8,   0
   0,  49,   8,   0
   0,  46,   8,   0
   0,  43,   7,   0
   0,  40,   7,   0
   0,  37,   7,   0
   0,  34,   6,   0
   0,  31,   6,   0
   0,  29,   6,   0
   0,  27,   6,   0
   0,  25,   5,   0
   0,  22,   5,   0
   0,  21,   5,   0
   0,  19,   4,   0
   0,  17,   4,   0
   0,  15,   4,   0
   0,  14,   4,   0
   0,  13,   3,   0
   0,  11,   3,   0
   0,  10,   3,   0
   0,   9,   3,   0
   0,   8,   2,   0
   0,   7,   2,   0
   0,   6,   2,   0
   0,   6,   2,   0
   0,   5,   2,   0
   0,   4,   2,   0
   0,   4,   1,   0
   0,   3,   1,   0
   0,   3,   1,   0
   0,   2,   1,   0
   0,   2,   1,   0
   0,   2,   1,   0
   0,   1,   1,   0
   0,   1,   1,   0
   0,   1,   0,   0
   0,   1,   0,   0
   0,   1,   0,   0
   0,   1,   0,   0
   0,   0,   0,   0
   0,   0,   0,   0
   0,   0,   0,   0
   0,   0,   0,   0
